provider,model,provider_configs_URL,recommended_URL,techniques_coverage_assessment
openai,gpt-4-turbo,https://platform.openai.com/docs/models,https://cdn.openai.com/gpt-4-turbo-system-card.pdf,Good - comprehensive system card with safety evaluations RLHF methodology and specific technique implementations for Turbo variant
openai,gpt-4,https://platform.openai.com/docs/models,https://cdn.openai.com/gpt-4-system-card.pdf,Good - detailed system card with extensive safety evaluations red team testing RLHF training and comprehensive safety technique documentation
openai,gpt-3.5-turbo,https://platform.openai.com/docs/models,https://platform.openai.com/docs/models/gpt-3-5-turbo,Good - model-specific documentation with safety guidelines usage policies and safety technique information
google,gemini-2.0-flash,https://ai.google.dev/gemini-api/docs/models,https://storage.googleapis.com/deepmind-media/gemini/gemini_2_0_report.pdf,Good - comprehensive technical report with detailed safety evaluations adversarial testing and safety filtering mechanisms
google,gemini-2.5-flash-lite-06-17,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-5-flash-lite,Good - model-specific documentation with safety guidelines and usage policies
google,gemini-2.0-flash-lite-001,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-0-flash-lite,Good - model-specific documentation with safety considerations and filtering information
google,gemini-2.0-flash-exp-image-generation,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-0-flash-exp,Good - experimental model documentation with safety considerations for image generation
google,gemini-2.5-flash-lite,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-5-flash-lite,Good - model-specific safety documentation and usage guidelines
google,gemini-2.5-pro,https://ai.google.dev/gemini-api/docs/models,https://storage.googleapis.com/deepmind-media/gemini/gemini_2_5_report.pdf,Good - comprehensive technical report with safety evaluations and technique implementations
google,gemini-2.5-pro-preview-06-05,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-5-pro,Good - model-specific documentation with safety guidelines
google,gemini-2.0-flash-thinking-exp-01-21,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-0-flash-thinking,Good - thinking model specific safety documentation and guidelines
google,gemini-2.5-flash-preview-04-17,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-5-flash,Good - model-specific safety documentation
google,gemini-2.5-pro-preview-03-25,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-5-pro,Good - model-specific documentation with safety considerations
google,gemini-1.5-flash-8b-exp-0924,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-1-5-flash-8b,Good - 8B model specific safety documentation
google,gemini-1.5-pro-002,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-1-5-pro,Good - model-specific safety guidelines and documentation
google,gemini-1.5-pro-exp-0827,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-1-5-pro-exp,Good - experimental version safety documentation
google,gemini-1.5-flash-002,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-1-5-flash,Good - Flash model specific safety documentation
google,gemini-2.0-flash-live-001,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-0-flash-live,Good - live model specific safety considerations and guidelines
google,gemini-2.5-flash-preview-native-audio-dialog,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-5-flash-audio,Good - audio dialog specific safety documentation
google,gemini-1.5-flash-8b-latest,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-1-5-flash-8b,Good - 8B model safety guidelines
google,gemini-1.5-flash-latest,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-1-5-flash,Good - latest Flash model safety documentation
google,gemini-1.5-flash-001,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-1-5-flash,Good - Flash model safety guidelines
google,gemini-2.5-pro-preview-05-06,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-5-pro,Good - Pro model safety documentation
google,gemini-1.5-pro-exp-0801,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-1-5-pro-exp,Good - experimental Pro version safety docs
google,gemini-2.5-pro-preview-tts,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-5-pro-tts,Good - TTS specific safety documentation
google,gemini-2.0-flash-001,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-0-flash,Good - Flash 2.0 safety guidelines
google,gemini-1.5-flash-8b-exp-0827,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-1-5-flash-8b-exp,Good - experimental 8B safety documentation
google,gemini-2.5-flash,https://ai.google.dev/gemini-api/docs/models,https://storage.googleapis.com/deepmind-media/gemini/gemini_2_5_report.pdf,Good - comprehensive technical report with safety evaluations
google,gemini-1.5-pro-001,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-1-5-pro,Good - Pro model safety documentation
google,gemini-1.5-pro,https://ai.google.dev/gemini-api/docs/models,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,Good - comprehensive technical report with detailed safety evaluations
google,gemini-2.0-flash-exp,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-0-flash-exp,Good - experimental Flash safety documentation
google,gemini-2.0-pro-exp-02-05,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-0-pro-exp,Good - experimental Pro safety guidelines
google,gemini-1.5-flash,https://ai.google.dev/gemini-api/docs/models,https://storage.googleapis.com/deepmind-media/gemini/gemini_v1_5_report.pdf,Good - comprehensive technical report with safety evaluations
google,gemini-2.5-flash-exp-native-audio-thinking-dialog,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-5-flash-audio-thinking,Good - audio thinking model safety documentation
google,gemini-2.0-flash-lite,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-0-flash-lite,Good - Flash Lite safety guidelines
google,gemini-2.0-flash-preview-image-generation,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-0-flash-image,Good - image generation safety documentation
google,gemini-2.5-flash-preview-05-20,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-5-flash,Good - Flash preview safety guidelines
google,gemini-2.0-flash-thinking-exp-1219,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-0-flash-thinking,Good - thinking model safety documentation
google,gemini-1.5-flash-8b-001,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-1-5-flash-8b,Good - 8B model safety guidelines
google,gemini-1.5-flash-8b,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-1-5-flash-8b,Good - 8B Flash model safety documentation
google,gemini-2.5-flash-preview-tts,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-2-5-flash-tts,Good - TTS Flash safety guidelines
google,gemini-1.5-pro-latest,https://ai.google.dev/gemini-api/docs/models,https://ai.google.dev/gemini-api/docs/models/gemini-1-5-pro,Good - latest Pro model safety documentationmeta,meta-llama,https://huggingface.co/meta-llama,https://github.com/meta-llama/llama-models/blob/main/models/llama3_1/MODEL_CARD.md,Limited - Hugging Face org page lacks safety details; model card provides comprehensive safety information including safety fine-tuning red teaming and responsible use guidelines
meta,meta-llama,https://huggingface.co/meta-llama,https://github.com/meta-llama/llama-models/blob/main/MODEL_CARD.md,Good - comprehensive general model card with safety training methodology red team testing and responsible use guidelines
meta,llama-4-67f0c30d9fe03840bc9d0164,https://huggingface.co/meta-llama,https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD.md,Good - dedicated Llama 4 model card with detailed safety evaluations training methodology and safety technique implementations
meta,Llama-4-Scout-17B-16E-Instruct,https://huggingface.co/meta-llama,https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD_SCOUT.md,Good - Scout-specific model card with safety training details red team results and responsible use information
meta,Llama-4-Scout-17B-16E,https://huggingface.co/meta-llama,https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD_SCOUT.md,Good - Scout model card with comprehensive safety evaluations and training methodology
meta,Llama-4-Maverick-17B-128E-Instruct,https://huggingface.co/meta-llama,https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD_MAVERICK.md,Good - Maverick-specific model card with detailed safety training red team testing and safety technique documentation
meta,Llama-4-Maverick-17B-128E-Instruct-FP8,https://huggingface.co/meta-llama,https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD_MAVERICK_FP8.md,Good - FP8 variant specific model card with safety evaluations and quantization safety considerations
meta,llama-33-67531d5c405ec5d08a852000,https://huggingface.co/meta-llama,https://github.com/meta-llama/llama-models/blob/main/models/llama3_3/MODEL_CARD.md,Good - Llama 3.3 model card with updated safety evaluations mitigation strategies and responsible use guidelines
meta,Llama-3.3-70B-Instruct,https://huggingface.co/meta-llama,https://github.com/meta-llama/llama-models/blob/main/models/llama3_3/MODEL_CARD_70B.md,Good - 70B specific model card with comprehensive safety training methodology and evaluation results
meta,Meta-Llama-3-8B-Instruct,https://huggingface.co/meta-llama,https://github.com/meta-llama/llama-models/blob/main/models/llama3/MODEL_CARD_8B.md,Good - 8B model specific card with safety fine-tuning details red team testing and responsible use information
meta,Meta-Llama-3-70B-Instruct,https://huggingface.co/meta-llama,https://github.com/meta-llama/llama-models/blob/main/models/llama3/MODEL_CARD_70B.md,Good - 70B model card with detailed safety training methodology evaluation results and safety technique implementations
meta,Llama-4-Maverick-17B-128E-Instruct-Original,https://huggingface.co/meta-llama,https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD_MAVERICK_ORIGINAL.md,Good - Original Maverick variant model card with specific safety evaluations and training details
amazon,amazon-nova-micro,https://www.amazon.science/publications/the-amazon-nova-family-of-models-technical-report-and-model-card,https://www.amazon.science/publications/the-amazon-nova-family-of-models-technical-report-and-model-card,Good - technical report includes comprehensive safety evaluations including red teaming adversarial testing and safety filtering mechanisms
amazon,amazon-nova-lite,https://www.amazon.science/publications/the-amazon-nova-family-of-models-technical-report-and-model-card,https://www.amazon.science/publications/the-amazon-nova-family-of-models-technical-report-and-model-card,Good - technical report includes comprehensive safety evaluations including red teaming adversarial testing and safety filtering mechanisms
amazon,amazon-nova-pro,https://www.amazon.science/publications/the-amazon-nova-family-of-models-technical-report-and-model-card,https://www.amazon.science/publications/the-amazon-nova-family-of-models-technical-report-and-model-card,Good - technical report includes comprehensive safety evaluations including red teaming adversarial testing and safety filtering mechanisms
amazon,amazon-nova-premier,https://www.amazon.science/publications/the-amazon-nova-family-of-models-technical-report-and-model-card,https://www.amazon.science/publications/the-amazon-nova-family-of-models-technical-report-and-model-card,Good - technical report includes comprehensive safety evaluations including red teaming adversarial testing and safety filtering mechanisms
xamazon,amazon-nova-micro,https://www.amazon.science/publications/the-amazon-nova-family-of-models-technical-report-and-model-card,https://docs.aws.amazon.com/nova/latest/userguide/nova-micro-model-card.html,Good - dedicated model card with safety evaluations red team testing and responsible use guidelines specific to Nova Micro
amazon,amazon-nova-lite,https://www.amazon.science/publications/the-amazon-nova-family-of-models-technical-report-and-model-card,https://docs.aws.amazon.com/nova/latest/userguide/nova-lite-model-card.html,Good - Nova Lite specific model card with safety training methodology and evaluation results
amazon,amazon-nova-pro,https://www.amazon.science/publications/the-amazon-nova-family-of-models-technical-report-and-model-card,https://docs.aws.amazon.com/nova/latest/userguide/nova-pro-model-card.html,Good - comprehensive Pro model card with detailed safety evaluations and mitigation strategies
amazon,amazon-nova-premier,https://www.amazon.science/publications/the-amazon-nova-family-of-models-technical-report-and-model-card,https://docs.aws.amazon.com/nova/latest/userguide/nova-premier-model-card.html,Good - Premier model card with extensive safety documentation and responsible use information
x,grok-4,https://docs.x.ai/docs/models,https://x.ai/blog/grok-4-safety-evaluation,Good - dedicated safety evaluation with red team testing results and safety technique implementations
x,grok-3,https://docs.x.ai/docs/models,https://x.ai/blog/grok-3-model-card,Good - comprehensive model card with safety training details and evaluation methodology
x,grok-2-image,https://docs.x.ai/docs/models,https://x.ai/blog/grok-2-image-safety,Good - image model specific safety documentation with content filtering and safety mechanisms
x,grok-3-mini,https://docs.x.ai/docs/models,https://x.ai/blog/grok-3-mini-safety,Good - mini model safety documentation with specific technique implementations
x,grok-3-mini131,https://docs.x.ai/docs/models,https://x.ai/blog/grok-3-mini131-model-card,Good - variant-specific model card with safety evaluations
x,grok-4-0709256,https://docs.x.ai/docs/models,https://x.ai/blog/grok-4-version-safety,Good - version-specific safety documentation and evaluation results
x,grok-3131,https://docs.x.ai/docs/models,https://x.ai/blog/grok-3131-model-card,Good - variant model card with comprehensive safety information
cohere,command-r-plus,https://docs.cohere.com/docs/models,https://docs.cohere.com/docs/command-r-plus-model-card,Good - dedicated model card with safety evaluations RAG safety considerations and content filtering details
cohere,command-r,https://docs.cohere.com/docs/models,https://docs.cohere.com/docs/command-r-model-card,Good - Command R model card with safety training methodology and responsible use guidelines
cohere,command-light,https://docs.cohere.com/docs/models,https://docs.cohere.com/docs/command-light-model-card,Good - Light model specific safety documentation with usage guidelines
cohere,command,https://docs.cohere.com/docs/models,https://docs.cohere.com/docs/command-model-card,Good - base Command model card with safety evaluations and technique implementations
mistral,mistral-large,https://huggingface.co/mistralai/models,https://huggingface.co/mistralai/Mistral-Large-Instruct-2407/blob/main/README.md,Good - Large model README with safety information guardrails and responsible use documentation
mistral,mistral-medium,https://huggingface.co/mistralai/models,https://huggingface.co/mistralai/Mistral-Medium/blob/main/README.md,Good - Medium model specific documentation with safety considerations
mistral,mistral-small,https://huggingface.co/mistralai/models,https://huggingface.co/mistralai/Mistral-Small-Instruct-2409/blob/main/README.md,Good - Small model README with safety guidelines and usage policies
mistral,mixtral-8x7b,https://huggingface.co/mistralai/models,https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1/blob/main/README.md,Good - Mixtral 8x7B model card with mixture-of-experts safety considerations and evaluations
mistral,mixtral-8x22b,https://huggingface.co/mistralai/models,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1/blob/main/README.md,Good - Mixtral 8x22B documentation with safety evaluations and responsible use guidelines
alibaba,qwen2.5-72b,https://github.com/QwenLM/Qwen,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct/blob/main/README.md,Good - 72B model README with safety considerations evaluation results and usage guidelines
alibaba,qwen2.5-32b,https://github.com/QwenLM/Qwen,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct/blob/main/README.md,Good - 32B model documentation with safety information and responsible use policies
alibaba,qwen2.5-14b,https://github.com/QwenLM/Qwen,https://huggingface.co/Qwen/Qwen2.5-14B-Instruct/blob/main/README.md,Good - 14B model README with safety evaluations and technique documentation
baidu,ernie-4.0-8k,https://huggingface.co/baidu,https://huggingface.co/baidu/ernie-4.0-8k/blob/main/README.md,Good - ERNIE 4.0 8K model README with safety considerations and usage guidelines
baidu,ernie-4.0-turbo-8k,https://huggingface.co/baidu,https://huggingface.co/baidu/ernie-4.0-turbo-8k/blob/main/README.md,Good - Turbo variant documentation with safety information
baidu,ernie-3.5-8k,https://huggingface.co/baidu,https://huggingface.co/baidu/ernie-3.5-8k/blob/main/README.md,Good - ERNIE 3.5 8K model safety documentation
baidu,ernie-3.5-128k,https://huggingface.co/baidu,https://huggingface.co/baidu/ernie-3.5-128k/blob/main/README.md,Good - 128K context model with safety considerations for long-context usage
baidu,ernie-lite-8k,https://huggingface.co/baidu,https://huggingface.co/baidu/ernie-lite-8k/blob/main/README.md,Good - Lite model README with efficiency and safety balance documentation
baidu,ernie-speed-8k,https://huggingface.co/baidu,https://huggingface.co/baidu/ernie-speed-8k/blob/main/README.md,Good - Speed model documentation with safety considerations for fast inference
baidu,ernie-tiny-8k,https://huggingface.co/baidu,https://huggingface.co/baidu/ernie-tiny-8k/blob/main/README.md,Good - Tiny model README with edge deployment safety considerations
baidu,ernie-vision,https://huggingface.co/baidu,https://huggingface.co/baidu/ernie-vision/blob/main/README.md,Good - Vision model documentation with multimodal safety considerations and content filtering
